Station ID,Station Name,First Year,Last Year,Year Range,% Complete,MSL Trends (mm/yr),+/- 95% CI (mm/yr),MSL Trend (ft/century),+/- 95% CI (ft/century),Latitude,Longitude
680-078,"Brisbane, Australia",1966,2018,53,0.8896,1.21,0.59,0.4,0.19,-27.3667,153.1667
680-135,"Newcastle III & V, Australia",1925,2017,93,0.9146,1.98,0.25,0.65,0.08,-32.9167,151.8
680-140,"Sydney, Fort Denison 1 & 2, Australia",1886,2018,133,0.9893,0.75,0.1,0.25,0.03,-33.8547,151.2258
680-151,"Camp Cove, Australia",1948,1989,42,0.9601,0.38,0.47,0.13,0.15,-33.8333,151.2833
680-275,"Victor Harbour, Australia",1965,2017,53,0.9635,1.37,0.6,0.45,0.2,-35.5625,138.6354
680-311,"Port Adelaide (Outer Harbor), Australia",1940,2017,78,0.9795,2.36,0.31,0.78,0.1,-34.7798,138.4807
680-391,"Port Pirie, Australia",1941,2017,77,0.9924,1.08,0.34,0.35,0.11,-33.1776,138.0116
680-431,"Port Lincoln, Australia",1965,2017,53,0.9889,1.94,0.5,0.64,0.16,-34.7159,135.87
680-461,"Bunbury, Australia",1957,2017,61,0.9324,1.71,0.6,0.56,0.2,-33.3234,115.66
680-471,"Fremantle, Australia",1897,2018,122,0.9262,1.71,0.23,0.56,0.08,-32.066,115.748
680-479,"Carnarvon, Australia",1965,2017,53,0.848,2.64,1.16,0.86,0.38,-24.8987,113.651
680-494,"Port Hedland, Australia",1966,2017,52,0.923,2.45,1.4,0.81,0.46,-20.3176,118.5744
690-002,"Auckland II, New Zealand",1903,2000,98,0.9732,1.29,0.2,0.42,0.07,-36.85,174.7667
690-006,"Tauranga (Salisbury Wharf), New Zealand",1984,2018,35,0.8956,4.03,0.93,1.32,0.3,-37.641,176.1811
690-011,"Wellington, New Zealand",1944,2018,75,0.9595,2.72,0.25,0.89,0.08,-41.2833,174.7833
690-021,"Port Lyttelton, New Zealand",1924,2018,95,0.9034,2.76,0.19,0.91,0.06,-43.6056,172.7219
690-041,"Bluff/Southland Harbour, New Zealand",1917,2018,102,0.3103,1.66,0.21,0.55,0.07,-46.6,168.35
690-081,"Port Taranaki, New Zealand",1955,2018,64,0.8108,1.49,0.74,0.49,0.24,-39.0562,174.0344
690-105,"Whangarei Harbour (Marsden Point), New Zealand",1964,2018,55,0.5679,3.46,1.26,1.14,0.41,-35.7574,174.35
700-011,"Saipan, Northern Mariana Islands",1978,2016,39,0.893,1.68,1.98,0.55,0.65,15.2333,145.75
710-001,"Chuuk, Federated States of Micronesia",1947,1995,49,0.8566,0.31,1.73,0.1,0.57,7.4467,151.8467
710-026,"Kapingamarangi, Federated States Of Micronesia",1978,2016,39,0.8344,2.92,2.07,0.96,0.68,1.1,154.7833
710-032,"Pohnpei C, Federated States of Micronesia",1974,2018,17,0.9607,1.88,3.0,0.62,0.98,6.9805,158.2002
711-021,"Malakal B, Palau",1969,2016,48,0.9684,2.42,2.55,0.79,0.84,7.3333,134.4667
715-002,"Nauru-B",1974,2018,26,0.9364,3.04,2.59,1.0,0.85,-0.5294,166.91
720-017,"Majuro C, Marshall Islands",1968,2018,26,0.9452,3.53,1.8,1.16,0.59,7.106,171.3728
730-009,"Betio, Kiribati",1974,2018,27,0.8168,2.37,3.55,0.78,1.17,1.3651,172.933
732-012,"Funafuti B, Tuvalu",1977,2018,26,0.9635,3.33,3.09,1.09,1.01,-8.5025,179.1952
734-004,"Honiara B, Solomon Islands",1974,2018,25,0.9811,2.19,3.98,0.72,1.31,-9.4289,159.9554
742-014,"Suva-B, Fiji",1972,2018,22,0.9422,7.18,1.81,2.36,0.6,-18.1325,178.4275
750-012,"Kanton Island B, Kiribati",1949,2016,45,0.821,1.17,1.36,0.38,0.44,-2.8167,-171.7167
760-011,"Johnston Island, USA",1947,2016,70,0.9066,1.03,0.41,0.34,0.13,16.738,-169.53
760-017,"French Frigate Shoals B, USA",1974,2016,10,0.905,1.92,1.94,0.63,0.64,23.8683,-166.2883
770-022,"Christmas Island II, Kiribati",1956,2015,44,0.9242,0.94,1.95,0.31,0.64,1.9833,-157.4833
775-001,"Penrhyn, Cook Islands",1977,2016,40,0.9621,2.25,1.55,0.74,0.51,-9.0167,-158.0667
780-011,"Papeete-B, Fare Ute Point, French Polynesia",1976,2016,41,0.9857,2.6,0.78,0.85,0.26,-17.5333,-149.5667
805-011,"Nuku Hiva, French Polynesia",1982,2012,31,0.6522,1.6,2.55,0.52,0.84,-8.9333,-140.0833
808-001,"Rikitea, French Polynesia",1969,2016,48,0.9505,2.09,0.58,0.69,0.19,-23.1333,-134.95
810-003,"Easter Island E, Chile",1970,2018,49,0.8305,0.03,0.89,0.01,0.29,-27.15,-109.45
822-001,"Prince Rupert, Canada",1909,2018,110,0.8271,1.13,0.22,0.37,0.07,54.3167,-130.3333
822-008,"Queen Charlotte City, Canada",1957,2018,62,0.8862,0.28,0.47,0.09,0.15,53.25,-132.0667
822-016,"Bella Bella, Canada",1961,2018,58,0.9724,0.0,0.53,0.0,0.17,52.1667,-128.1333
822-020,"Port Hardy, Canada",1964,2018,55,0.9832,-0.51,0.55,-0.17,0.18,50.7167,-127.4833
822-027,"Campbell River, Canada",1965,2018,54,0.888,-1.66,0.66,-0.54,0.22,50.0167,-125.2333
822-051,"Point Atkinson, Canada",1914,2018,105,0.7888,0.98,0.23,0.32,0.07,49.3333,-123.25
822-071,"Vancouver, Canada",1909,2018,110,0.8327,0.53,0.21,0.17,0.07,49.2833,-123.1167
822-098,"Patricia Bay, Canada",1976,2018,43,0.9941,0.87,0.9,0.28,0.29,48.65,-123.45
822-101,"Victoria, Canada",1909,2018,110,0.9909,0.76,0.18,0.25,0.06,48.4167,-123.3667
822-108,"Bamfield, Canada",1969,2018,50,0.9814,0.0,0.74,0.0,0.24,48.85,-125.1333
822-116,"Tofino, Canada",1909,2018,110,0.7802,-1.22,0.26,-0.4,0.08,49.15,-125.9167
830-001,"Ensenada, Mexico",1956,1990,35,0.9806,2.34,1.36,0.77,0.45,31.85,-116.633
830-020,"Cabo San Lucas, Mexico",1973,2003,31,0.7812,1.69,3.41,0.55,1.12,22.8833,-109.9
830-021,"La Paz, Mexico",1952,1984,33,0.7933,1.62,1.48,0.53,0.48,24.1667,-110.35
830-031,"Guaymas, Mexico",1952,1989,38,0.87,4.08,1.23,1.34,0.4,27.9167,-110.9
830-081,"Acapulco, Mexico",1967,2012,46,0.7038,7.47,2.1,2.45,0.69,16.8333,-99.9167
830-091,"Salina Cruz, Mexico",1952,1990,39,0.8186,1.02,1.32,0.33,0.43,16.1667,-95.2
833-011,"Acajutla, El Salvador",1962,2001,40,0.9914,2.37,2.51,0.78,0.82,13.5667,-89.8333
840-011,"Balboa, Panama",1908,2018,111,0.9947,1.43,0.21,0.47,0.07,8.9667,-79.5667
845-012,"La Libertad II, Ecuador",1948,2003,56,0.9621,-1.22,0.96,-0.4,0.31,-2.2,-80.9167
845-034,"Baltra, Ecuador",1985,2016,32,0.8895,2.18,2.98,0.71,0.98,-0.4333,-90.2833
848-032,"Callao, Peru",1970,2016,47,0.9929,-0.35,1.22,-0.11,0.4,-12.05,-77.15
850-001,"Arica, Chile",1950,1991,42,0.8659,-1.42,1.38,-0.47,0.45,-18.4667,-70.3333
850-007,"Iquique, Chile",1984,2018,35,0.9537,-0.61,1.3,-0.2,0.43,-20.2044,-70.1478
850-012,"Antofagasta, Chile",1945,2018,74,0.9315,-0.85,0.36,-0.28,0.12,-23.65,-70.4
850-021,"Caldera, Chile",1950,1991,42,0.9898,3.01,0.73,0.99,0.24,-27.0667,-70.8333
850-039,"Juan Fernandez, Chile",1985,2018,34,0.8647,0.25,1.74,0.08,0.57,-33.6358,-78.8297
850-041,"Talcahuano, Chile",1949,2018,70,0.9399,0.55,0.57,0.18,0.19,-36.6833,-73.1
850-048,"Corral, Chile",1985,2018,34,0.8856,-1.9,1.67,-0.62,0.55,-39.8783,-73.4228
860-002,"Ushuaia II, Argentina",1957,2006,38,0.8456,-2.15,0.82,-0.7,0.27,-54.8167,-68.2167
860-011,"Puerto Deseado, Argentina",1970,2017,48,0.4028,1.34,0.95,0.44,0.31,-47.75,-65.9167
860-031,"Puerto Madryn, Argentina",1944,2000,57,0.7493,1.5,0.78,0.49,0.25,-42.7667,-65.0333
860-081,"Quequen, Argentina",1918,1982,65,0.9859,0.85,0.3,0.28,0.1,-38.5833,-58.7
860-101,"Mar Del Plata  (Naval Base), Argentina",1957,2018,62,0.9607,1.31,0.4,0.43,0.13,-38.0333,-57.5167
860-151,"Buenos Aires, Argentina",1905,1987,83,1.001,1.57,0.3,0.51,0.1,-34.6,-58.3667
860-161,"Palermo, Argentina",1957,2018,62,0.9837,1.93,0.54,0.63,0.18,-34.5667,-58.4
863-002,"Stanley II, Falkland Islands",1964,2013,50,0.4915,0.67,0.47,0.22,0.16,-51.6833,-57.8167
870-011,"Montevideo, Uruguay",1938,2018,81,0.8033,1.07,0.49,0.35,0.16,-34.9,-56.25
870-021,"Punta del Este, Uruguay",1964,1993,30,0.7983,3.62,1.65,1.19,0.54,-34.9667,-54.95
870-031,"La Paloma, Uruguay",1955,2017,63,0.7099,1.42,0.68,0.47,0.22,-34.65,-54.15
874-051,"Cananeia, Brazil",1954,2006,53,0.9716,4.2,0.62,1.38,0.2,-25.0167,-47.9333
874-092,"Ilha Fiscal, Brazil",1963,2016,54,0.9505,2.35,1.05,0.77,0.34,-22.9,-43.1667
902-021,"Cartagena, Colombia",1949,1992,44,0.9564,5.31,0.37,1.74,0.12,10.4,-75.55
904-011,"Cristobal, Panama",1909,1980,72,1.0012,1.41,0.21,0.46,0.07,9.35,-79.9167
912-021,"Fort-de-France, Martinique",1976,2018,43,0.379,2.43,0.74,0.8,0.24,14.6015,-61.0632
920-001,"Progreso, Mexico",1952,2013,62,0.5435,3.69,0.78,1.21,0.26,21.3,-89.6667
920-011,"Ciudad del Carmen, Mexico",1956,1988,33,0.8857,3.6,0.94,1.18,0.31,18.6333,-91.85
920-021,"Coatzacoalcos, Mexico",1952,1987,36,0.7332,2.86,1.06,0.94,0.35,18.15,-94.4167
920-051,"Tuxpan, Mexico",1958,1990,33,0.7332,2.64,1.45,0.87,0.48,21.0,-97.3333
930-031,"Gibara, Cuba",1974,2018,45,0.9944,2.57,0.82,0.84,0.27,21.1167,-76.1333
930-051,"Guantanamo Bay, Cuba",1937,1971,35,0.9155,1.65,0.78,0.54,0.26,19.9067,-75.1467
930-065,"Casilda, Cuba",1979,2017,39,0.6559,1.76,0.99,0.58,0.32,21.7533,-79.9917
930-071,"Cabo San Antonio, Cuba",1971,2018,48,0.8559,4.21,0.99,1.38,0.33,21.9,-84.9
941-002,"Settlement Point A, Bahamas",1985,2016,15,0.8794,3.2,2.43,1.05,0.8,26.6833,-78.9833
970-001,"Saint John, N.B., Canada",1896,2018,123,0.7653,2.13,0.18,0.7,0.06,45.2667,-66.0667
970-007,"Yarmouth, Canada",1965,2018,54,0.9154,3.73,0.42,1.22,0.14,43.8333,-66.1333
970-011,"Halifax, Canada",1895,2014,120,0.7949,3.19,0.13,1.05,0.04,44.6667,-63.5833
970-016,"North Sydney, Canada",1970,2018,49,0.971,3.84,0.43,1.26,0.14,46.2167,-60.25
970-031,"Charlottetown, Canada",1911,2018,108,0.8173,3.24,0.15,1.06,0.05,46.2333,-63.1167
970-040,"Lower Escuminac, Canada",1973,2018,46,0.9292,3.09,0.45,1.01,0.15,47.0833,-64.8833
970-054,"Riviere-Au-Renard, Canada",1968,2018,51,0.923,1.01,0.47,0.33,0.15,49.0,-64.3833
970-061,"Pointe-Au-Pere, Canada",1900,1983,84,0.7934,-0.37,0.39,-0.12,0.13,48.5167,-68.4667
970-068,"St-Francois, Canada",1962,2018,57,0.9605,0.37,0.64,0.12,0.21,47.0,-70.8167
970-071,"Quebec, Canada",1910,2012,103,0.7518,-0.16,0.44,-0.05,0.14,46.8333,-71.1667
970-089,"Neuville, Canada",1914,2018,105,0.7257,0.3,0.63,0.1,0.21,46.7,-71.5667
970-099,"Sept-Iles, Canada",1972,2018,47,0.8927,0.55,0.59,0.18,0.19,50.2,-66.4
970-111,"Port Aux Basques, Canada",1959,2018,60,0.8985,2.73,0.28,0.9,0.09,47.5667,-59.1333
970-116,"Argentia, Canada",1971,2018,48,0.9092,2.55,0.44,0.84,0.14,47.3,-53.9833
970-121,"St. Johns, NFLD, Canada",1935,2018,84,0.749,2.1,0.37,0.69,0.12,47.5667,-52.7167
970-141,"Churchill, Canada",1940,2018,79,0.8997,-9.21,0.49,-3.02,0.16,58.7667,-94.1833
970-162,"Alert, Canada",1969,2018,50,0.2906,-2.34,1.07,-0.77,0.35,82.49,-62.32
970-211,"Tuktoyaktuk, Canada",1961,2018,58,0.4336,2.75,1.07,0.9,0.35,69.4167,-132.9667
999-001,"Bahia Esperanza, Antarctica",1961,1993,33,0.3528,-4.82,2.45,-1.58,0.8,-63.3,-56.9167
999-003,"Argentine Islands, Antarctica",1958,2018,61,0.9795,1.29,0.35,0.42,0.11,-65.25,-64.2667
